,SP500_only,WithMidSmall
2018-11-30,2.430757819816774,1.4239289683678165
2018-12-31,2.4435953288213477,1.4425248211892736
2019-01-31,2.5122952469463664,1.4836469189836394
2019-02-28,2.828660535167714,1.6033984967932842
2019-03-31,2.899173455350414,1.668233084167175
2019-04-30,2.892811845517948,1.7001970622513058
2019-05-31,2.950965014856708,1.6782868036741092
2019-06-30,3.0622707327240337,1.7403090095985985
2019-07-31,3.309092007729709,1.9283702187474556
2019-08-31,3.5954842623364938,2.0437305907417325
2019-09-30,3.46778684091505,2.025492356564541
2019-10-31,3.5329784312843135,2.058726440534208
2019-11-30,3.5390991665102383,2.0766813486268476
2019-12-31,3.757119861161178,2.2044059167617953
2020-01-31,4.135445846094391,2.4694641700630156
2020-02-29,4.206633919434749,2.537338669886636
2020-03-31,3.958397001140127,2.31831650713272
2020-04-30,4.409174073405554,2.589074220524791
2020-05-31,4.480339352360967,2.62312980825959
2020-06-30,4.459186771886554,2.6316865923705595
2020-07-31,4.97274567764653,2.9662606656213124
2020-08-31,5.247185270379724,3.0717080020002228
2020-09-30,5.096786492757753,3.0007064980133125
2020-10-31,5.073212619954939,2.9576244602237263
2020-11-30,5.615719692451415,3.3869436424927306
2020-12-31,5.8787940864912995,3.505225864635945
2021-01-31,5.9972384771497085,3.5300428156015484
2021-02-28,6.360343980639322,3.583143599983914
2021-03-31,6.632054200786428,3.7951538003276286
2021-04-30,7.233066120597719,3.9359382890509362
2021-05-31,7.831815172296307,4.234878748449809
2021-06-30,7.455478470033446,4.159213517954674
2021-07-31,7.669427963768142,4.147578888832421
2021-08-31,7.958989268385125,4.31201063059462
2021-09-30,7.626465210109715,4.036982232933723
2021-10-31,8.18410831605031,4.215204283229196
2021-11-30,8.07917021136506,4.148902357644995
2021-12-31,8.214394956452118,4.227042726522355
2022-01-31,7.953320523486414,3.7728396699380657
2022-02-28,8.09079176052983,3.9024859913076924
2022-03-31,9.135407911767318,4.052337883333114
2022-04-30,8.899924804456209,3.947989253323265
2022-05-31,9.06142816304681,4.009903485791958
2022-06-30,8.728178695773009,3.7246894294853874
2022-07-31,9.108980508818624,3.725423903139705
2022-08-31,9.368886002782391,3.60185000115401
2022-09-30,8.909380130870932,3.4356484048419187
2022-10-31,9.55183942245102,3.524472800720486
2022-11-30,9.939395779424874,3.792007281662411
2022-12-31,9.71908305844159,3.822416324288472
2023-01-31,10.038489792128681,4.064052197046432
2023-02-28,9.62313938476138,4.111364753573054
2023-03-31,9.821982704320751,4.1042195814476345
2023-04-30,10.197169955731274,4.231653455007075
2023-05-31,10.534515892448693,4.19642283754297
2023-06-30,11.084045991914776,4.373068710856378
2023-07-31,11.41358818528558,4.5020499423712925
2023-08-31,10.693797311658656,4.218039936283038
2023-09-30,10.336392064011113,4.040937436171222
2023-10-31,10.693001113620655,4.182805991938677
2023-11-30,11.073781989754433,4.433426852611572
2023-12-31,12.071421484877611,4.6957558130144
2024-01-31,12.456809584225999,4.876184051378544
2024-02-29,13.724472360358615,5.563654870403534
2024-03-31,14.089249742329741,5.674119316331581
2024-04-30,13.392914991311102,5.513270436720976
2024-05-31,13.843625853974707,5.748693182557112
2024-06-30,13.760193061269442,5.526861564966337
2024-07-31,13.527328816472675,5.343605659939509
2024-08-31,13.580945131117069,5.601337586759423
2024-09-30,14.107214273001356,5.740332894537765
2024-10-31,14.60391160846233,5.69472193210886
2024-11-30,16.908210268350885,6.438369829935718
2024-12-31,16.08682828316267,6.192675720776146
2025-01-31,16.53011340480667,6.405256622340813
2025-02-28,16.611143661204757,6.470649699548441
2025-03-31,16.34472958875979,6.192362969877045
2025-04-30,15.89643381982638,6.203774057344087
2025-05-31,15.979096641495689,6.237063459032069
2025-06-30,16.41804129180743,6.612573392602883
2025-07-31,17.19908664222027,6.473710078330079
2025-08-31,17.293626782985754,6.749433204304048
2025-09-30,18.24007680962668,7.094490662652174
2025-10-31,19.268949317118334,7.425742915992868
2025-11-30,20.57592385497112,7.8195096275348295
2025-12-31,20.657025556910217,8.36661460881634
