,StockV9j,CryptoV3,CryptoV2,HybridV3_Best
2021-08-19,8.37356433577862,2149.4366718622264,2365.019234917466,29.107982852449222
2021-08-20,8.405373185386267,2150.5977624358266,2366.2967796695366,29.199586109882297
2021-08-23,8.507335178430838,2176.786805373707,2395.1125112995855,29.554068247227864
2021-08-24,8.493562258158287,2175.7547248638402,2393.9769159644115,29.51298858795659
2021-08-25,8.552806390691527,2160.660547407032,2377.3688341874863,29.63672638989413
2021-08-26,8.556891986996582,2163.1117386179667,2380.0658731085255,29.654776500147054
2021-08-27,8.59929377890996,2195.6222746787844,2415.8371261665175,29.861474091094177
2021-08-30,8.618021351537479,2184.7854293251785,2403.913375147187,29.884022813316385
2021-08-31,8.589161122185866,2189.171771492114,2408.739655321678,29.815961257072768
2021-09-01,8.542110885177268,2182.7328792111803,2530.6091512867297,29.66775987239842
2021-09-02,8.604125276032738,2176.9448427017815,2594.113440177589,29.82433228735824
2021-09-03,8.637296431492823,2200.2256117729203,2630.6047375274193,29.98010648366741
2021-09-07,8.603616481262485,2157.1368955362823,2379.378402561478,29.76915912747616
2021-09-08,8.583906289750592,2151.7347281275097,2384.6659063774855,29.699689815624623
2021-09-09,8.565960832884153,2161.2528326096326,2398.0988699476716,29.676292893746055
2021-09-10,8.479030671680537,2150.319874758545,2274.6972031994246,29.40533692239011
2021-09-13,8.427574755498735,2157.5227646369085,2313.909804290563,29.28227705556817
2021-09-14,8.459305940357178,2171.414052259466,2383.7661244235674,29.40818606880987
2021-09-15,8.549037779554375,2158.6803719387885,2482.4216327829135,29.623251947008086
2021-09-16,8.48965155394921,2109.8036191927513,2462.9003279215103,29.324482991609607
2021-09-17,8.391044605930377,2106.459420320654,2414.877432674582,29.04270456976307
2021-09-20,8.293611473218755,2121.5083152450916,2199.292757526812,28.814416821596428
2021-09-21,8.356210249961586,2135.6568489347337,2083.948136987529,29.026839095678614
2021-09-22,8.449191771371998,2127.682220855117,2195.025040597638,29.263552405390563
2021-09-23,8.542511699107449,2103.1152214485564,2269.439472415269,29.454543746028712
2021-09-24,8.561335906452735,2100.4141377441706,2167.5250513483,29.498902532989163
2021-09-27,8.392798274984541,2104.7873208846054,2180.589007925531,29.04661617951955
2021-09-28,8.159523427415573,2084.3362585513955,2112.501357660819,28.344297871185965
2021-09-29,8.171071593966438,2074.9467771028144,2077.182436115282,28.350853420416247
2021-09-30,8.102390272869055,2112.247456830053,2206.7040375191787,28.262143579531056
2021-10-01,8.20528296917963,2114.466101260229,2437.274655596252,28.555202732404762
2021-10-04,8.187996627012028,2124.3581900746794,2482.2855084514695,28.533794089679194
2021-10-05,8.249604697485724,2114.466101260229,2599.0426092336006,28.67897555616206
2021-10-06,8.211450449888169,2171.2003209768004,2672.083361104772,28.72676360722982
2021-10-07,8.233227037318393,2182.230911007722,2687.1145316593474,28.81689856073813
2021-10-08,8.228992405360211,2156.3606142271115,2653.521930140134,28.73671661009043
2021-10-11,8.243289420903011,2166.1704354016647,2666.492425620433,28.802804342397522
2021-10-12,8.2703747944587,2142.429776808032,2635.0967030913635,28.815381119962066
