,StockV11b,CryptoV5D,HybridV6_w20,HybridV6_w25
2018-04-23,1.9522641576348916,45.97093752309234,4.720878146680524,5.823148798814887
2018-04-24,1.9195508449508296,46.194168472695,4.662178283564101,5.757035838917399
2018-04-25,1.9069969007013248,45.89408752404879,4.631728432690272,5.719447854992173
2018-04-26,1.9400568047111693,45.73306847843376,4.69271527117299,5.788795919322003
2018-04-27,1.9426327210732344,45.927023237924594,4.701680262668308,5.800698084648183
2018-04-30,1.933957306923607,45.927023237924594,4.6848828421223425,5.781269505446602
2018-05-01,1.888119501061408,45.60263299433061,4.58943359316247,5.668292156030069
2018-05-02,1.872339740986668,45.58051547772194,4.558303846573018,5.632075751675027
2018-05-03,1.8920059495317487,45.812749402113084,4.601251469256211,5.683617224616553
2018-05-04,1.9186840292441456,45.90859197408403,4.65508034396836,5.746695872919184
2018-05-07,1.9355038765830896,45.90859197408403,4.68772677852149,5.784479014572235
2018-05-08,1.942379063329432,45.91596270411118,4.701198484661274,5.800121665352367
2018-05-09,2.0013274480674137,45.82014321375827,4.813375989555113,5.929114631039696
2018-05-10,2.022525868351979,46.133399239912016,4.860744772933678,5.986350129573094
2018-05-11,2.034559586886647,46.06706266966769,4.882483439753739,6.010911540830687
2018-05-14,2.020668985255033,46.06706266966769,4.855815994721724,5.980132701200712
2018-05-15,2.0076245672854154,45.32326962632259,4.815058359320493,5.927040545858294
2018-05-16,2.0160981736169434,45.252960831180516,4.829822846699157,5.943504181450776
2018-05-17,2.037971475422425,45.27886407149602,4.872296023719768,5.992716962351757
2018-05-18,2.0420120178698773,45.297366386007084,4.88042218366573,6.0022401669940715
2018-05-21,2.0550443324319434,45.297366386007084,4.905340037835684,6.030970316932758
2018-05-22,2.044030484300915,45.271477949960214,4.883747509348379,6.005866726496326
2018-05-23,2.052802289681974,45.31955647404726,4.9015514144267955,6.026791590287774
2018-05-24,2.083611972943784,45.70788301475029,4.968803660910558,6.1075421948587625
2018-05-25,2.091084978079425,45.56734579049586,4.980004903249397,6.119276319311516
2018-05-29,2.0914992903855083,45.56734579049586,4.980794264690908,6.120185640851528
2018-05-30,2.1163000002928456,45.63392686235469,5.029499066466749,6.176850517178679
2018-05-31,2.100009081750477,45.53405525456645,4.996324631184062,6.137809687414561
2018-06-01,2.152145274580637,45.30841939993375,5.090606559650205,6.244491928125161
2018-06-04,2.16631479062378,45.30841939993375,5.117419408083161,6.275326775661449
2018-06-05,2.1604673075683083,45.48614303572656,5.110383389537286,6.268776432547599
2018-06-06,2.1603562278935384,45.512061065946355,5.110755570543901,6.269427690424359
2018-06-07,2.1366067505557584,45.48984561147225,5.065309317496504,6.216971281599612
2018-06-08,2.1434958301755493,45.54538424765751,5.079611863092478,6.233902935211354
2018-06-11,2.149908842658227,45.54538424765751,5.091769802035612,6.247891100050484
2018-06-12,2.179636368542342,45.39384965752897,5.144706140386655,6.3074880393843875
2018-06-13,2.187744398353757,45.53060038520594,5.163116100441376,6.329835846917659
2018-06-14,2.1980129899310863,45.60082373185087,5.184095997835158,6.35455923571031
2018-06-15,2.1966240823979097,44.84684674682108,5.164332302027787,6.325280665524106
2018-06-18,2.21018284054437,44.84684674682108,5.189833955490389,6.354562969027776
2018-06-19,2.216839100366685,44.73205422356524,5.199681017657448,6.36484980358791
2018-06-20,2.2336306315441337,44.53209305402282,5.226540439828726,6.393894863540322
2018-06-21,2.213766707824965,44.45433037697854,5.187530944802228,6.348457372804622
2018-06-22,2.2036749204669674,44.56171693099206,5.171118697254945,6.330586005787909
2018-06-25,2.158172661653848,44.56171693099206,5.085698627668277,6.2325488723845055
2018-06-26,2.1778118459602784,44.327553267079104,5.117377278273537,6.266897887787618
2018-06-27,2.1545805346347016,44.07480518539527,5.067870833042672,6.207826666147105
2018-06-28,2.173303859021463,43.94099737744501,5.100025572576933,6.243574594450197
2018-06-29,2.1693611733535274,44.10082337027449,5.0963338796057815,6.240756955223642
2018-07-02,2.1743200356431243,44.10082337027449,5.1056534961643125,6.251456091461509
2018-07-03,2.164076370509564,44.54761359512233,5.096755662110826,6.245200722930653
2018-07-05,2.1952607800344413,44.54761359512233,5.155511191437389,6.3126958791424
2018-07-06,2.2309855010669035,44.4765170257559,5.220984426189234,6.387224718289155
2018-07-09,2.241434149853204,44.4765170257559,5.240546088983334,6.409660274605635
2018-07-10,2.240523590133568,44.394395047193875,5.236907712817394,6.404748661813878
2018-07-11,2.2350803310674325,43.91286162744377,5.215368782160832,6.375710985200359
2018-07-12,2.2550762612758555,44.09576967060466,5.257040479319326,6.425129854298259
2018-07-13,2.248711443173965,43.901663175821675,5.240542108105508,6.404458202171922
2018-07-16,2.255107747798632,43.901663175821675,5.252467196608468,6.418120981941217
2018-07-17,2.262911879812729,43.42735341628706,5.255659304803477,6.417443915062423
2018-07-18,2.25560543339614,43.43855758383512,5.242354997194567,6.402317447137786
2018-07-19,2.255064269858506,43.25182145803409,5.236841576620933,6.394284755942149
2018-07-20,2.262209688101015,43.53192564673563,5.256899269523032,6.419833046220458
2018-07-23,2.254264855361434,43.53192564673563,5.24212957398336,6.402923307469271
2018-07-24,2.2277360295063557,43.54693665557934,5.193138410392517,6.346961725443626
2018-07-25,2.2621757348576144,43.787112797078564,5.263093490994033,6.429303821947218
2018-07-26,2.284228332905595,43.44561234588434,5.295929403503054,6.463774689950264
2018-07-27,2.249726747686976,43.46812885914989,5.232485458766357,6.391389269345161
2018-07-30,2.211018249723517,43.46812885914989,5.16046190197388,6.308912226709711
2018-07-31,2.20776215420939,43.59592102354342,5.157416438296798,6.306580927978342
2018-08-01,2.1990144324219623,43.27644061255961,5.13350949506718,6.276285705687582
2018-08-02,2.2410174215506355,43.043407842194945,5.206424374902848,6.357748324541208
2018-08-03,2.2351042306868605,43.193751565010864,5.199071200336772,6.35071821740457
2018-08-06,2.2499164739748894,43.193751565010864,5.2266349824401255,6.382283316919304
2018-08-07,2.255325238103404,43.291979286579156,5.2390639794070175,6.397419016703513
2018-08-08,2.235210865256187,43.412874943893975,5.204609917503392,6.359093240479125
2018-08-09,2.232382223137966,43.34864912594548,5.197800843099637,6.350705762550274
2018-08-10,2.2380926361496187,43.32975917949004,5.207984577287582,6.362197689051732
2018-08-13,2.237602534962692,43.32975917949004,5.20707221490129,6.361152785707975
2018-08-14,2.2617786358446104,43.37195352713296,5.253094048611387,6.4142480470839285
2018-08-15,2.228980605050204,42.65081376741765,5.1746854939750815,6.31782611958631
2018-08-16,2.241132170376511,42.61629111934617,5.196416143562567,6.342379479349128
2018-08-17,2.257222318150876,43.01138364727531,5.235897285878836,6.391230620175996
2018-08-20,2.26739096148578,43.01138364727531,5.254767193945989,6.412824686517541
2018-08-21,2.277052034213521,43.13733765032439,5.275756723963861,6.438012685824866
2018-08-22,2.280928989588677,43.232757349604,5.285276805557503,6.4497940224984065
2018-08-23,2.290417062500084,42.824361036687286,5.292879683648351,6.45468420216686
2018-08-24,2.314855882036085,43.572451479039394,5.3565518904360925,6.534526865397648
2018-08-27,2.333713733815353,43.572451479039394,5.391461385193564,6.5744517501490884
2018-08-28,2.3443430066877267,43.22642712398288,5.402543301522416,6.583857529349582
2018-08-29,2.361723219603615,43.42415532687232,5.439528000481232,6.627994539416313
2018-08-30,2.355875492846124,43.21121726222215,5.423418460546143,6.607560755585191
2018-08-31,2.3724522936270045,43.16178521149979,5.452706545269978,6.640540962538971
2018-09-04,2.4337863343161588,43.16178521149979,5.565479822443807,6.76929735861755
2018-09-05,2.375980841795395,43.31084300156872,5.463574134782921,6.654557237203395
2018-09-06,2.385936085817504,43.39492688314608,5.484009224319373,6.678698737733571
2018-09-07,2.389911802195416,43.27644505001436,5.488325070255326,6.682486601409592
2018-09-10,2.440559818394766,43.27644505001436,5.58137378504396,6.788700151632206
2018-09-11,2.4636600284823627,43.3032179280833,5.624327098011315,6.83794204011842
2018-09-12,2.48666689958906,43.66656413044754,5.675783745310467,6.900177948558527
2018-09-13,2.5023764895816694,43.50975155890087,5.7003927852688925,6.926677134338248
2018-09-14,2.543219260534063,43.22672399074346,5.767408255882024,7.000203564115526
2018-09-17,2.496217340525646,43.22672399074346,5.682137035832542,6.9031740787692355
2018-09-18,2.530163394938224,43.1620418053863,5.742253641686345,6.970998879985238
2018-09-19,2.4789189067598496,43.32945452042835,5.653667872778796,6.871868507113193
2018-09-20,2.488952935612685,43.47784306330652,5.675847927694033,6.898613628987342
2018-09-21,2.4900204826932506,43.18106597755016,5.67004689093684,6.889060435423004
2018-09-24,2.5340811874572884,43.18106597755016,5.750311696402087,6.980486447796145
2018-09-25,2.591895545417544,43.24956506872809,5.857089476497618,7.102698166851786
2018-09-26,2.5875683962023577,43.02123476480167,5.843082440302589,7.084430306184768
2018-09-27,2.6239979386019407,42.64068425825764,5.898555576665134,7.143568280047499
2018-09-28,2.616454303557236,42.9108751179039,5.892464733177772,7.139481922207313
2018-10-01,2.576858144973298,42.9108751179039,5.821125755781391,7.058447812989009
2018-10-02,2.537788642704557,43.40642577663425,5.7639642150872925,6.998562751744693
2018-10-03,2.537046752011067,43.23488901015067,5.758060503793604,6.990113933987361
2018-10-04,2.507062498826032,43.25776057901514,5.704228102801931,6.929078549715727
2018-10-05,2.497762282692008,43.37974227962569,5.690516795966798,6.9146852247266155
2018-10-08,2.4722606094208524,43.37974227962569,5.644037528958774,6.861737018467427
2018-10-09,2.45755077747706,43.40286991901415,5.617773943767576,6.832031337161263
2018-10-10,2.36067329882612,43.51079890282698,5.443404231850336,6.6342878727401375
2018-10-11,2.350374612257998,44.628634806602655,5.452375590047443,6.6551911578987095
2018-10-12,2.40008962248672,44.41663144554175,5.539458117422088,6.752865183078976
2018-10-15,2.3953445214796125,44.41663144554175,5.530696681833837,6.742852110937562
2018-10-16,2.461987755091132,44.34005104649771,5.651889502550976,6.880645344773629
2018-10-17,2.463379741082348,44.336222026545514,5.654348310345502,6.883414490674689
2018-10-18,2.4321806517992486,44.38599928592413,5.598327398986807,6.819961891229287
2018-10-19,2.3840700548673075,44.420460465493946,5.510604971698745,6.720107167025395
2018-10-22,2.4095055980378106,44.420460465493946,5.557638901886182,6.7738795726249
2018-10-23,2.3942119791458243,44.681508889282185,5.535950719186205,6.751585303447736
2018-10-24,2.321086972065297,44.78516046931575,5.403254137224915,6.60084359166696
2018-10-25,2.327004058609104,44.68534783669084,5.411865192036793,6.609786287588801
2018-10-26,2.266928548321192,44.8273888908109,5.303532627867422,6.4870568756197935
2018-10-29,2.238497639868068,44.8273888908109,5.250320804942444,6.426038326877641
2018-10-30,2.2776402495263963,44.63082824826672,5.319162586161069,6.503268845836561
2018-10-31,2.331807938424621,44.38030978227904,5.414393005041841,6.610140300600903
2018-11-01,2.3421202565942587,44.95072105868176,5.4474669600424175,6.653304795881182
2018-11-02,2.3371738791170897,44.958429319173696,5.438450084744657,6.643051576935161
2018-11-05,2.339654525371506,44.958429319173696,5.443067925446402,6.648339713975196
2018-11-06,2.3357123506502555,44.83093699576279,5.4326438650496005,6.6352248685327355
2018-11-07,2.3412477037265518,44.82707359202306,5.442849993163189,6.646875421864317
2018-11-08,2.341507534241063,44.73048849852995,5.440987779557912,6.643848307398967
2018-11-09,2.333266037471949,44.228246012365766,5.413448601043691,6.6076602453568185
2018-11-12,2.327960935355343,44.228246012365766,5.403601837864417,6.59639246283958
2018-11-13,2.326327000393744,44.24381111742027,5.400948054757276,6.59350044800888
2018-11-14,2.33338426573341,44.60959108620105,5.422986057468515,6.622129962185285
2018-11-15,2.3359045166972345,44.66017767762818,5.428901798345271,6.629371652975724
2018-11-16,2.3478784328048925,44.99093616003634,5.45920618408795,6.667132895175377
